"Date","FIPS","Completeness_pct","SVI_CTGY","Census2019","tVaccMi"
2022-05-14,"48259",98.9,"A",47431,1014.63570547459
2022-05-14,"48413",98.9,"C",2793,1054.25018393724
2022-05-14,"48415",98.9,"C",16703,995.947060846711
2022-05-14,"48481",98.9,"D",41556,936.242414721942
2022-05-14,"48497",98.9,"C",69984,832.104298198759
2022-05-14,"51025",79,"D",16231,535.956101814289
2022-05-14,"51053",79,"B",28544,539.794126315041
2022-05-14,"51079",79,"A",19819,479.620435672889
2022-05-14,"51135",79,"D",15232,519.518017333555
2022-05-14,"54083",97.2,"C",28695,413.205215706848
2022-05-14,"54093",97.2,"B",6839,422.195082965892
2022-05-14,"05009",90.5,"B",37432,519.92499505395
2022-05-14,"06005",97.6,"C",39752,1877.82893295793
2022-05-14,"13067",89.4,"B",760141,310.923893037667
2022-05-14,"13317",89.4,"D",9777,368.184461215654
2022-05-14,"19015",97.4,"A",26234,520.222604892426
2022-05-14,"19115",97.4,"B",11035,400.740345931558
2022-05-14,"16039",97.8,"C",27511,1566.03270874239
2022-05-14,"17157",98.3,"B",31782,345.753815748708
2022-05-14,"18037",98.6,"A",42736,233.009528602834
2022-05-14,"18039",98.6,"D",206341,305.518633131741
2022-05-14,"18129",98.6,"A",25427,259.465897006276
2022-05-14,"18139",98.6,"B",16581,266.211828136077
2022-05-14,"18173",98.6,"A",62998,233.81297811066
2022-05-14,"20011",93.6,"C",14534,558.579872377476
2022-05-14,"20065",93.6,"A",2482,791.139089356736
2022-05-14,"22041",96.9,"D",20015,602.496443227136
2022-05-14,"23027",96.2,"A",39715,962.997078424625
2022-05-14,"23031",96.2,"A",207641,879.022397941168
2022-05-14,"27009",94.6,"B",40889,681.359006954746
2022-05-14,"29115",91.3,"B",11920,463.031414922662
